,,,,,,,,,,,,,,
LAPORAN INVENTARIS OUTLET  TAHUN 2026,,,,,,,,,,,,,,
PT GADAI SEJAHTERA INDONESIA,,,,,,,,,,,,,,
ALL OUTLET ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DAFTAR ASSET/INVENTARIS  ,,,,,,,,,,,,,,
No.,KODE ASET,KATEGORI,NAMA BARANG,KETERANGAN SPESIFIK BARANG,JUMLAH,HARGA PEROLEHAN / UNIT,TOTAL PEROLEHAN,WAKTU PEROLEHAN,LOKASI, KONDISI, MASA MANFAAT (TH),,,BEBAN PENYUSUTAN
174,INV-KP/ATK/032,ATK,,BINDEX HITAM BESAR 17,1,"20,000"," Rp 20,000 ",,KP,,,,,0
175,INV-KP/ATK/033,ATK,,BINDEX BIRU BESAR 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
176,INV-KP/ATK/034,ATK,,BINDEX BIRU BESAR 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
177,INV-KP/ATK/035,ATK,,BINDEX BIRU BESAR 3,1,"20,000"," Rp 20,000 ",,KP,,,,,0
178,INV-KP/ATK/036,ATK,,BINDEX BIRU BESAR 4,1,"20,000"," Rp 20,000 ",,KP,,,,,0
179,INV-KP/ATK/037,ATK,,BINDEX BIRU BESAR 5,1,"20,000"," Rp 20,000 ",,KP,,,,,0
180,INV-KP/ATK/038,ATK,,BINDEX BIRU BESAR 6,1,"20,000"," Rp 20,000 ",,KP,,,,,0
181,INV-KP/ATK/039,ATK,,BINDEX BIRU BESAR 7,1,"20,000"," Rp 20,000 ",,KP,,,,,0
182,INV-KP/ATK/040,ATK,,BINDEX BIRU BESAR 8,1,"20,000"," Rp 20,000 ",,KP,,,,,0
183,INV-KP/ATK/041,ATK,,BINDEX BIRU BESAR 9,1,"20,000"," Rp 20,000 ",,KP,,,,,0
184,INV-KP/ATK/042,ATK,,BANTEX JUMBO 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
185,INV-KP/ATK/043,ATK,,BANTEX JUMBO 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
186,INV-KP/ATK/044,ATK,,BANTEX JUMBO 3,1,"25,000"," Rp 25,000 ",,KP,,,,,0
187,INV-KP/ATK/045,ATK,,BANTEX JUMBO 4,1,"25,000"," Rp 25,000 ",,KP,,,,,0
188,INV-KP/ATK/046,ATK,,BANTEX JUMBO 5,1,"25,000"," Rp 25,000 ",,KP,,,,,0
